"Warehouse ID","Variant Name",Stock,Barcode1,"Cost Price","Selling Price","Shopify Variant ID",SKU,"KSU (Shopify Product)","Created At","Updated At"
531,2XS,14,FS5SK16FDG2XS,50025,298000,44326301827244,FS5SK16FDG2XS,,"2025-03-13 12:52:22","2025-11-24 18:16:00"
532,XS,37,FS5SK16FDGXS,50025,298000,44326301958316,FS5SK16FDGXS,,"2025-03-13 12:52:22","2025-11-22 17:10:00"
533,S,43,FS5SK16FDGS,50025,298000,44326301925548,FS5SK16FDGS,,"2025-03-13 12:52:22","2025-11-24 18:16:00"
534,M,13,FS5SK16FDGM,50025,298000,44326301892780,FS5SK16FDGM,,"2025-03-13 12:52:22","2025-11-24 18:16:00"
535,L,0,FS5SK16FDGL,50025,298000,44326301860012,FS5SK16FDGL,,"2025-03-13 12:52:22","2025-11-24 18:16:00"
4777,2XS,1,FF5SK03FBG2XS,47835,298000,44730302955692,FF5SK03FBG2XS,,"2025-04-23 11:17:57","2025-11-24 18:16:00"
4778,L,1,FF5SK03FBGL,47835,298000,44730303086764,FF5SK03FBGL,,"2025-04-23 11:17:57","2025-11-24 18:16:00"
4779,M,0,FF5SK03FBGM,47835,298000,44730303053996,FF5SK03FBGM,,"2025-04-23 11:17:57","2025-11-24 18:16:00"
4780,S,0,FF5SK03FBGS,47835,298000,44730303021228,FF5SK03FBGS,,"2025-04-23 11:17:57","2025-11-24 18:16:00"
4781,XS,0,FF5SK03FBGXS,47835,298000,44730302988460,FF5SK03FBGXS,,"2025-04-23 11:17:57","2025-11-19 18:20:00"
4783,2XS,1,FF5SK03FBK2XS,47835,298000,44730303414444,FF5SK03FBK2XS,,"2025-04-23 11:17:57","2025-11-24 18:16:00"
4784,L,0,FF5SK03FBKL,47835,298000,44730303545516,FF5SK03FBKL,,"2025-04-23 11:17:57","2025-11-24 18:16:00"
4785,M,0,FF5SK03FBKM,47835,298000,44730303512748,FF5SK03FBKM,,"2025-04-23 11:17:57","2025-11-24 18:16:00"
4786,S,9,FF5SK03FBKS,47835,298000,44730303479980,FF5SK03FBKS,,"2025-04-23 11:17:57","2025-11-24 18:16:00"
4787,XS,3,FF5SK03FBKXS,47835,298000,44730303447212,FF5SK03FBKXS,,"2025-04-23 11:17:57","2025-11-19 18:20:00"
4789,2XS,2,FF5SK03FBL2XS,47835,298000,44730303643820,FF5SK03FBL2XS,,"2025-04-23 11:17:57","2025-11-24 18:16:00"
4790,L,2,FF5SK03FBLL,47835,298000,44730303774892,FF5SK03FBLL,,"2025-04-23 11:17:58","2025-11-24 18:16:00"
4791,M,3,FF5SK03FBLM,47835,298000,44730303742124,FF5SK03FBLM,,"2025-04-23 11:17:58","2025-11-24 18:16:00"
4792,S,4,FF5SK03FBLS,47835,298000,44730303709356,FF5SK03FBLS,,"2025-04-23 11:17:58","2025-11-24 18:16:00"
4793,XS,0,FF5SK03FBLXS,47835,298000,44730303676588,FF5SK03FBLXS,,"2025-04-23 11:17:58","2025-11-19 18:20:00"
4795,2XS,0,FF5SK03FCO2XS,47835,298000,44730303971500,FF5SK03FCO2XS,,"2025-04-23 11:17:58","2025-11-24 18:16:00"
4796,L,2,FF5SK03FCOL,47835,298000,44730304102572,FF5SK03FCOL,,"2025-04-23 11:17:58","2025-11-24 18:16:00"
4797,M,0,FF5SK03FCOM,47835,298000,44730304069804,FF5SK03FCOM,,"2025-04-23 11:17:58","2025-11-24 18:16:00"
4798,S,5,FF5SK03FCOS,47835,298000,44730304037036,FF5SK03FCOS,,"2025-04-23 11:17:58","2025-11-24 18:16:00"
4799,XS,0,FF5SK03FCOXS,47835,298000,44730304004268,FF5SK03FCOXS,,"2025-04-23 11:17:58","2025-11-19 18:20:00"
4801,2XS,1,FF5SK03FIV2XS,47835,298000,44730304266412,FF5SK03FIV2XS,,"2025-04-23 11:17:58","2025-11-24 18:16:00"
4802,L,1,FF5SK03FIVL,47835,298000,44730304397484,FF5SK03FIVL,,"2025-04-23 11:17:58","2025-11-24 18:16:00"
4803,M,0,FF5SK03FIVM,47835,298000,44730304364716,FF5SK03FIVM,,"2025-04-23 11:17:58","2025-11-24 18:16:00"
4804,S,2,FF5SK03FIVS,47835,298000,44730304331948,FF5SK03FIVS,,"2025-04-23 11:17:59","2025-11-24 18:16:00"
4805,XS,0,FF5SK03FIVXS,47835,298000,44730304299180,FF5SK03FIVXS,,"2025-04-23 11:17:59","2025-11-19 18:20:00"
4807,L,2,FF5TS02FBGL,43561,278000,44730307903660,FF5TS02FBGL,,"2025-04-23 11:17:59","2025-11-19 18:50:00"
